iter	RMSE
0	7.509858164
1	7.354911801
2	7.197687188
3	7.058917075
4	6.926741411
5	6.789367966
6	6.666842174
7	6.537707076
8	6.426987685
9	6.307626869
10	6.199530736
11	6.08434086
12	5.977647303
13	5.883369905
14	5.778664407
15	5.672593205
16	5.581441571
17	5.495520104
18	5.409739211
19	5.333608298
20	5.245634159
21	5.172212773
22	5.103301133
23	5.024809159
24	4.954541184
25	4.882234606
26	4.805153619
27	4.740649592
28	4.668979282
29	4.609164726
30	4.550537336
31	4.489603046
32	4.436464214
33	4.382586602
34	4.331539678
35	4.284670472
36	4.235389778
37	4.189365674
38	4.140418052
39	4.106263045
40	4.061021452
41	4.022761187
42	3.982572365
43	3.939881003
44	3.894557861
45	3.858665625
46	3.820004224
47	3.785914752
48	3.745777919
49	3.712209966
50	3.684109107
51	3.655470501
52	3.619341988
53	3.587317727
54	3.555811992
55	3.523942845
56	3.497015208
57	3.469381987
58	3.43740092
59	3.411100796
60	3.386880939
61	3.363325276
62	3.338377131
63	3.31565825
64	3.294357522
65	3.267700433
66	3.238732092
67	3.21684913
68	3.196053129
69	3.177973003
70	3.155991185
71	3.132611396
72	3.114592885
73	3.092310545
74	3.07760416
75	3.048189895
76	3.031119786
77	3.010042338
78	2.990177348
79	2.973549431
80	2.959886888
81	2.947000245
82	2.928528741
83	2.912581406
84	2.891254955
85	2.876799399
86	2.862757448
87	2.847889089
88	2.82401832
89	2.808635021
90	2.796351618
91	2.780242224
92	2.765821517
93	2.755002611
94	2.743216724
95	2.730461471
96	2.719851691
97	2.704080372
98	2.68834493
99	2.681731605
100	2.671425317
101	2.654354918
102	2.645272198
103	2.634865035
104	2.62473774
105	2.614366341
106	2.602299875
107	2.585867985
108	2.576257442
109	2.567562322
110	2.560821862
111	2.554321087
112	2.539004649
113	2.524873458
114	2.516168833
115	2.502720863
116	2.493707973
117	2.473232194
118	2.462654239
119	2.448335172
120	2.441005396
121	2.427964794
122	2.4176513
123	2.407785708
124	2.393187187
125	2.384422803
126	2.37447603
127	2.367549359
128	2.358504128
129	2.347144141
130	2.340929946
131	2.329078438
132	2.311944855
133	2.307898533
134	2.295889388
135	2.283331545
136	2.278301489
137	2.267638214
138	2.261795241
139	2.253380661
140	2.245542865
141	2.238491815
142	2.233756929
143	2.227220697
144	2.221525498
145	2.215419288
146	2.207869968
147	2.201863739
148	2.193130436
149	2.183234742
150	2.172460109
151	2.166341626
152	2.161888459
153	2.15667761
154	2.146087061
155	2.142416014
156	2.131448605
157	2.130628574
158	2.123128906
159	2.120392877
160	2.112698841
161	2.106579218
162	2.100074017
163	2.095897495
164	2.089343761
165	2.086667879
166	2.082222156
167	2.079734656
168	2.072814643
169	2.070183246
170	2.062071186
171	2.059807569
172	2.051829934
173	2.049295893
174	2.041280549
175	2.038805434
176	2.030040901
177	2.021422765
178	2.016410081
179	2.011439243
180	2.008261648
181	2.00161955
182	1.996013261
183	1.98984325
184	1.981169448
185	1.978937593
186	1.976407572
187	1.970236758
188	1.964038756
189	1.957694297
190	1.950161675
191	1.939575051
