iter	Passed	Remaining
0	1	1152
1	1	951
2	3	1000
3	4	1017
4	4	894
5	5	934
6	6	951
7	7	960
8	8	968
9	9	973
10	10	978
11	12	990
12	13	1002
13	14	1017
14	15	1034
15	16	1039
16	18	1057
17	19	1061
18	20	1073
19	21	1075
20	23	1080
21	24	1080
22	25	1083
23	26	1086
24	27	1086
25	28	1083
26	30	1082
27	31	1085
28	32	1088
29	33	1090
30	34	1080
31	35	1077
32	36	1076
33	37	1074
34	38	1069
35	39	1065
36	40	1064
37	41	1061
38	43	1060
39	43	1040
40	44	1041
41	45	1038
42	46	1037
43	47	1035
44	48	1036
45	49	1033
46	50	1029
47	51	1027
48	52	1024
49	53	1021
50	54	1020
51	55	1017
52	56	1016
53	57	1015
54	59	1014
55	60	1011
56	61	1011
57	62	1010
58	63	1007
59	64	1005
60	65	1005
61	66	1006
62	67	1005
63	68	1004
64	69	1002
65	70	1001
66	72	1003
67	73	1002
68	74	1000
69	75	999
70	76	997
71	77	997
72	78	995
73	79	994
74	79	984
75	80	981
76	81	981
77	83	981
78	84	980
79	85	979
80	86	977
81	87	975
82	88	973
83	89	974
84	90	973
85	91	972
86	92	971
87	93	969
88	94	969
89	95	968
90	96	967
91	98	970
92	99	970
93	100	971
94	102	972
95	103	971
96	104	970
97	105	970
98	106	972
99	108	974
100	109	972
101	110	972
102	111	974
103	113	975
104	114	974
105	115	972
106	116	971
107	117	973
108	119	974
109	120	973
110	121	972
111	122	970
112	123	970
113	124	969
114	125	968
115	127	967
116	128	966
117	129	966
118	130	965
119	131	964
120	132	962
121	133	961
122	135	964
123	136	964
124	138	967
125	139	968
126	141	970
127	142	973
128	144	975
129	146	977
130	147	977
131	148	976
132	150	979
133	151	976
134	152	977
135	153	976
136	155	977
137	156	976
138	157	977
139	159	976
140	160	978
141	161	977
142	163	979
143	164	978
144	166	979
145	167	979
146	168	977
147	169	978
148	171	977
149	172	977
150	174	983
151	176	983
152	177	983
153	178	982
154	180	984
155	181	983
156	183	983
157	183	977
158	184	976
159	186	977
160	187	977
161	188	976
162	189	975
163	191	974
164	192	975
165	194	977
166	195	977
167	197	977
168	198	976
169	200	976
170	201	976
171	202	975
172	203	975
173	205	974
174	206	973
175	207	973
176	209	974
177	211	974
178	212	973
179	213	971
180	214	972
181	216	970
182	217	971
183	218	971
184	220	970
185	221	969
186	223	971
187	224	969
188	226	970
189	227	968
190	228	968
191	229	967
192	231	966
193	232	965
194	234	966
195	235	965
196	236	963
197	237	963
198	239	962
199	240	961
200	241	961
201	243	960
202	244	959
203	245	958
204	246	957
205	248	956
206	249	956
207	251	956
208	252	955
209	253	954
210	254	953
211	256	951
212	257	951
213	258	950
214	260	950
215	261	949
216	262	948
217	264	947
218	265	946
219	266	946
220	268	945
221	269	944
222	270	942
223	272	942
224	273	941
225	274	940
226	275	939
227	277	939
228	278	938
229	280	937
230	281	937
231	282	936
232	284	935
233	285	934
234	287	934
235	288	933
236	289	932
237	291	931
238	292	930
239	293	929
240	294	928
241	295	927
242	297	925
243	298	924
244	299	923
245	301	922
246	302	921
247	303	920
248	304	919
249	306	918
250	307	916
251	308	915
252	309	914
253	311	913
254	312	912
255	314	912
256	315	911
257	316	910
258	317	909
259	319	908
260	320	907
261	321	906
262	322	904
263	323	903
264	324	901
265	325	899
266	326	897
267	328	896
268	329	895
269	330	893
270	331	892
271	332	890
272	333	889
273	334	887
274	336	885
275	337	884
276	338	882
277	339	881
278	340	879
279	341	877
280	342	875
281	343	874
282	344	872
283	345	871
284	346	869
285	347	868
286	348	866
287	349	864
288	351	863
289	352	862
290	353	860
291	354	859
292	355	857
293	356	856
294	357	854
295	358	853
296	359	851
297	360	850
298	362	849
299	363	847
300	364	846
301	365	844
302	366	842
303	367	841
304	368	839
305	369	838
306	370	836
307	371	835
308	372	833
309	373	832
310	374	830
311	375	829
312	377	827
313	378	825
314	379	824
315	380	822
316	381	821
317	382	819
318	383	818
319	384	817
320	385	815
321	386	814
322	387	813
323	388	811
324	390	810
325	391	808
326	392	807
327	393	805
328	394	803
329	395	802
330	396	801
331	397	799
332	398	798
333	399	797
334	400	795
335	401	794
336	403	792
337	404	791
338	405	790
339	406	788
340	407	787
341	408	785
342	409	784
343	410	783
344	411	781
345	412	780
346	414	779
347	415	778
348	416	776
349	417	774
350	418	773
351	419	772
352	420	770
353	421	769
354	422	768
355	423	766
356	425	765
357	426	764
358	427	763
359	428	761
360	429	760
361	430	758
362	431	757
363	432	756
364	433	754
365	434	753
366	435	751
367	437	750
368	438	748
369	439	747
370	440	746
371	441	744
372	442	743
373	443	741
374	444	740
375	445	739
376	446	737
377	447	736
378	448	735
379	449	733
380	450	732
381	451	731
382	453	729
383	454	728
384	455	727
385	456	725
386	457	724
387	458	723
388	459	721
389	460	720
390	461	718
391	462	717
392	463	716
393	464	714
394	465	713
395	466	712
396	467	710
397	468	709
